Artist,Song,Duration,BPM,Release Date,Explicit,Album,Label
Harry Styles ,As It Was ,2:47,174,3/31/22,No,Single,Columbia
Glass Animals,Heat Waves,3:59,81,8/7/20,No,Dreamland,Polydor Records
Steve Lacy,Bad Habit,3:52,169,6/29/22,Yes,Single,L-M Records/RCA Records
Jack Harlow,First Class,2:54,107,5/6/22,Yes,Come Home The Kids Miss Your,Genertion Now/Atlantic
The Kid Laroi,STAY (feat. Justin Beiber),2:22,170,7/9/21,Yes,Single,Columbia
Kate Bush,Running Up That Hill (A Deal With God),4:59,108,9/16/85,No,Hounds Of Love,Fish People
the Neighbourhood,Sweater Weather,4:00,124,4/19/13,No,I Love You.,Columbia
Steve Lacy,Dark Red,2:53,172,2/20/17,No,Single,Three Quarter
Carolina Gaitan,We Don’t Talk About Bruno,3:36,206,11/19/21,No,Encanto (Original Motion Picture Soundtrack),Walt Disney Records
Lil Nas X,Industry Baby (feat. Jack Harlow),3:32,150,7/23/21,Yes,Single,Columbia
Joji,Glimpse of Us,3:53,170,6/10/22,No,Single,88rising Music/Warner Records
J.Cole,No Role Modelz,4:53,100,12/9/14,Yes,2014 Forest Hills Drive,Roc Nation Records LLC
Kodak Black,Super Gremlin,3:21,73,10/30/21,Yes,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Atlantic/Sniper Gang
Drake,Knife Talk (with 21 Savage ft. Project Pat,4:03,146,9/3/21,Yes,Certified Lover Boy,OVO
Future,WAIT FOR U (feat. Drake & Tems),3:10,83,4/29/22,Yes,I NEVER LIKED YOU,Epic/Freebandz
Lizzo,About Damn Time,3:12,109,4/14/22,Yes,Single,Nice Life/Atlantic
Imagine Dragons,Enemy (with JID),2:53,77,10/28/21,No,Single,KIDinaKORNER/Interscope Records
Arctic Monkeys,505,4:14,140,4/24/07,No, Favourite Worst Nightmare (Standard Version),Domino/Warner Records
The Walters,I Love You So,2:40,76,11/28/14,No,Single,Warner Records
Olivia Rodrigo,good 4 u,2:58,167,5/21/21,Yes,SOUR,Olivia Rodrigo PS